"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8582226.3478,4719494.1072,148,"BETHESDA STATION & BAY D",38.984797,-77.095451,"Bethesda","20306"
-8582216.997,4719494.2504,149,"BETHESDA STATION & BAY E",38.984798,-77.095367,"Bethesda","20308"
-8575289.6964,4720236.9681,150,"BLAIR MILL RD & EASTERN AVE",38.989984,-77.033138,"Silver Spring","20312"
-8575034.5521,4720252.5792,151,"BLAIR MILL RD & EASTERN DR",38.990093,-77.030846,"Silver Spring","20314"
-8574911.3214,4720236.2519,152,"BLAIR MILL RD & EAST WEST HWY",38.989979,-77.029739,"Silver Spring","20316"
-8575091.5477,4720260.886,153,"BLAIR MILL RD & @1401",38.990151,-77.031358,"Silver Spring","20320"
-8582820.5712,4728567.2688,154,"BOILING BROOK PKW & PARKLAWN DR",39.048124,-77.100789,"Garrett Park","20322"
-8582552.5139,4728440.1279,155,"BOILING BROOK PKW & ROCKINGHORSE RD",39.047237,-77.098381,"Garrett Park","20324"
-8582512.5502,4728487.716,156,"BOILING BROOK PKW & ROCKINGHORSE RD",39.047569,-77.098022,"Garrett Park","20326"
-8582745.2079,4728581.6027,157,"BOILING BROOK PKW & HUNTERS LA",39.048224,-77.100112,"Garrett Park","20328"
-8576535.1388,4734659.5745,158,"BONIFANT RD & LAYHILL RD",39.090614,-77.044326,"","20330"
-8575597.1608,4735062.0339,159,"BONIFANT RD & ALDERTON RD",39.09342,-77.0359,"","20332"
-8574624.3398,4735182.0863,160,"BONIFANT RD & CARONA DR",39.094257,-77.027161,"","20334"
-8574137.651,4735166.3087,161,"BONIFANT RD & PEBBLESTONE DR",39.094147,-77.022789,"","20336"
-8573634.9321,4735031.3397,162,"BONIFANT RD & PEBBLESTONE DR",39.093206,-77.018273,"","20338"
-8573330.9186,4734982.5734,163,"BONIFANT RD & NOTLEY RD",39.092866,-77.015542,"","20340"
-8572997.7394,4734996.6296,164,"BONIFANT RD & SANDY RIDGE RD",39.092964,-77.012549,"","20342"
-8572651.2018,4734999.0679,165,"BONIFANT RD & MARINE DR",39.092981,-77.009436,"","20344"
-8572176.6468,4735182.6601,166,"BONIFANT RD & OLD BONIFANT RD",39.094261,-77.005173,"","20346"
-8571898.9047,4735407.1347,167,"BONIFANT RD & NEW HAMPSHIRE AVE",39.095826,-77.002678,"Cloverly","20348"
-8572208.9295,4735175.0581,168,"BONIFANT RD & OLD BONIFANT RD",39.094208,-77.005463,"","20350"
-8572645.4132,4735019.8653,169,"BONIFANT RD & MARINE DR",39.093126,-77.009384,"","20352"
-8573107.6117,4735008.8211,170,"BONIFANT RD & SANDY RIDGE RD",39.093049,-77.013536,"","20354"
-8573339.9355,4735010.6857,171,"BONIFANT RD & NOTLEY RD",39.093062,-77.015623,"","20356"
-8573708.737,4735097.318,172,"BONIFANT RD & PEBBLESTONE DR",39.093666,-77.018936,"","20358"
-8574150.3414,4735183.6641,173,"BONIFANT RD & PEBBLESTONE DR",39.094268,-77.022903,"","20360"
-8574613.9871,4735203.8881,174,"BONIFANT RD & CARONA DR",39.094409,-77.027068,"","20362"
-8575535.6011,4735097.8917,175,"BONIFANT RD & ALDERTON RD",39.09367,-77.035347,"","20364"
-8576375.5067,4734773.4548,176,"BONIFANT RD & ROSETREE CT",39.091408,-77.042892,"","20366"
-8585074.5683,4741069.417,177,"BOWIE MILL RD & WILLOW HILL LA",39.135291,-77.121037,"","20368"
-8584893.3402,4741599.0058,178,"BOWIE MILL RD & WILLOW KNOLL DR",39.138981,-77.119409,"","20370"
-8584141.5996,4742965.1573,179,"BOWIE MILL RD & FRALEY FARM RD",39.148499,-77.112656,"","20372"
-8583456.0942,4743202.724,180,"BOWIE MILL RD & OCTOBER CT",39.150154,-77.106498,"Olney","20374"
-8583443.4038,4743221.9593,181,"BOWIE MILL RD & OCTOBER CT",39.150288,-77.106384,"Olney","20392"
-8584134.8091,4742984.2485,182,"BOWIE MILL RD & FRALEY FARM RD",39.148632,-77.112595,"","20394"
-8584915.2701,4741605.6079,183,"BOWIE MILL RD & WILLOW KNOLL DR",39.139027,-77.119606,"","20396"
-8585093.6039,4741078.315,184,"BOWIE MILL RD & WILLOW HILL LA",39.135353,-77.121208,"","20398"
-8591685.9442,4722029.9689,185,"BRADLEY BLV & RIVER RD",39.002502,-77.180428,"Potomac","20400"
-8591456.7373,4722250.8574,186,"BRADLEY BLV & WEEDIE BLOCK DR",39.004044,-77.178369,"Potomac","20401"
-8590978.9541,4722664.2842,187,"BRADLEY BLV & MERCY HOLLOW LA",39.00693,-77.174077,"Potomac","20402"
-8590660.803,4722907.6782,188,"BRADLEY BLV & ALDERSHOT DR",39.008629,-77.171219,"Potomac","20406"
-8589909.953,4723162.2524,189,"BRADLEY BLV & HOLLYOAK DR",39.010406,-77.164474,"Potomac","20408"
